고유번호,호수,면,발행일,제목,소제목,게시년월일,수정년월일
12000,273,3,2019-11-25,의정포토뉴스,창조도시위원회 거점시설 현장방문,2019-11-25,
12001,273,3,2019-11-25,의정포토뉴스,행정자치위원회 현장방문 실시,2019-11-25,
12002,273,3,2019-11-25,의정포토뉴스,부산진구 다행복교육지구 2기 학생모의 의회,2019-11-25,
12003,273,3,2019-11-25,제296회 임시회 구정질문 문답 주요내용,,2019-11-25,
11999,273,3,2019-11-25,의정포토뉴스,2019년도 하반기 의원 및 직원 실무연수 실시,2019-11-25,
11992,273,2,2019-11-25,이웃사랑 온도 100도까지 올리자 ,희망2020나눔캠페인 11월 20일∼1월 31일까지,2019-11-25,
11993,273,2,2019-11-25,부전시장 주차장 증축 주차걱정 끝,주차면수 종전 2배로 확충 … 230대 주차 가능,2019-11-25,
11994,273,2,2019-11-25,퇴원 어르신들 의료와 돌봄 지원,장기입원 의료수급자 재가의료급여 시범 추진,2019-11-25,
11995,273,2,2019-11-25,부산진구 청년창업스쿨 성공적,위워크에서 스타트업/비즈니스모델 등 4회 특강,2019-11-25,
11996,273,2,2019-11-25,유니세프와 함께 아우인형 만들기,"부산진구자원봉사센터, 매주 수요일 부암1동에서 운영",2019-11-25,
11997,273,2,2019-11-25,청소년 법률강좌 솔로몬 아카데미 운영,중학생들 대상 법조인 역할/SNS 범죄 등 특강,2019-11-25,
11998,273,3,2019-11-25,행정사무감사 및 2020년도 예산안 심사,제297회 부산진구의회 정례회,2019-11-25,
12004,273,3,2019-11-25,제296회 임시회 3차 본회의 5분 자유발언 주요 내용,,2019-11-25,
12005,273,3,2019-11-25,제297회 정례회 1차 본회의 5분 자유발언 주요 내용,,2019-11-25,
12006,273,4,2019-11-25,애들아 힘내! 수능 격려/봉사 만점,,2019-11-25,2019-12-11
11989,273,1,2019-11-25,서면은 지금 트리축제 한창,,2019-11-25,2019-11-25
11990,273,1,2019-11-25,400명의 아이들 최고 행복한 날,행복충전 가족콘서트 12월 17일 구청 대강당에서 개최,2019-11-25,
11991,273,2,2019-11-25,부산진구는 교육도시로 도약 힘차게 선언,교육비전 선포 … 다행복교육 한마당 성대하게 개최,2019-11-25,
11987,272,8,2019-10-25,부산진구어린이청소년도서관 이달의 추천도서(10월),청소년들에게 건네는 응원의 외침 체리새우 …,2019-10-25,
11988,273,1,2019-11-25,아세안 10개국 대표음식 맛보세요,한/아세안 푸드스트리트 11월 27일까지 놀이마루에서 개최,2019-11-25,
11985,272,8,2019-10-25,선물 같았던 한국영화 상영회,부산국제영화제(BIFF) 공식행사,2019-10-25,
11986,272,8,2019-10-25,포토 에세이,퉁퉁마디의 외침,2019-10-25,
11971,272,5,2019-10-25,복지관 소식,,2019-10-25,
11972,272,5,2019-10-25,지방분권 촉구 걷기대회 ,11월 17일 어린이대공원,2019-10-25,
11970,272,5,2019-10-25,산불 발생 주요 원인은 입산자 실화,산불조심기간 11월 1일부터 내년 5월 15일까지,2019-10-25,
11973,272,5,2019-10-25,퇴직교직원센터에 자원봉사캠프 설치,,2019-10-25,
11974,272,5,2019-10-25,규제혁신 소식,,2019-10-25,
11983,272,8,2019-10-25,달빛/별빛/노래 어울린 행복한 가을밤,백양산 숲길 걷기대회/산사음악회 성황리 종료,2019-10-25,
11984,272,8,2019-10-25,국보급 고려가요 정과정곡을 찾아서 ,동길산 시인이 쓰는 부산진이야기 58,2019-10-25,
11981,272,7,2019-10-25,김다희 시인의 꽃보다 사람 65,일인 다역의 초능력자 - 김유석 목공예 작가,2019-10-25,
11982,272,7,2019-10-25,섭취량을 줄여야 할 트랜스지방,독자칼럼,2019-10-25,
11975,272,6,2019-10-25,전례없는 교육 지원 교육도시 부산진구 실감,,2019-10-25,
11976,272,6,2019-10-25,부산진구 교육부문 좋은 정책상 수상,부산참여연대 선정,2019-10-25,2019-10-25
11977,272,6,2019-10-25,2019년 2학기부터 고등학교 무상교육,,2019-10-25,2019-10-25
11978,272,6,2019-10-25,11월 14일 수능 … 시험장 교통소통 협조를,,2019-10-25,2019-10-25
11979,272,6,2019-10-25,45세 이상 중장년 드론교육 … 수강생 모집,,2019-10-25,2019-10-25
11980,272,7,2019-10-25,나무이야기 - 바위틈 소나무와 옹이,,2019-10-25,
11957,272,2,2019-10-25,"드림스타트 가족들, 명상센터에서 가족캠프",,2019-10-25,
11958,272,2,2019-10-25,자원순환 나눔장터 성황리에 개최,,2019-10-25,
11956,272,2,2019-10-25,미등록 오토바이/안전모 미착용 단속,,2019-10-25,
11959,272,2,2019-10-25,일회용 플라스틱컵 대신 텀블러 사용 캠페인 전개,,2019-10-25,
11960,272,3,2019-10-25,조례안 21건 심사/구정질문 4건 진행,제296회 부산진구의회 임시회,2019-10-25,
11967,272,5,2019-10-25,청춘의 열기와 커피의 향기로 서면이 들썩,2019년 전포카페거리축제/제1회 청소년축제 흥청망청 성황리에 개최,2019-10-25,
11968,272,5,2019-10-25,지니어스 1기 재밌는 소식 전할게요 ,,2019-10-25,
11969,272,5,2019-10-25,법률상담,사실혼 배우자 사망시 주택임차권 승계 여부,2019-10-25,
11966,272,4,2019-10-25,마을소식 2,,2019-10-25,
11964,272,4,2019-10-25,어르신들 편하게...찾아가는 복지서비스 안내,,2019-10-25,
11965,272,4,2019-10-25,마을소식 1,,2019-10-25,
11961,272,3,2019-10-25,제296회 임시회－5분 자유발언 주요 내용,,2019-10-25,
11962,272,3,2019-10-25,의원 정보화교육/인권교육 받으며 열공,,2019-10-25,
11963,272,3,2019-10-25,의정포토뉴스,,2019-10-25,
11935,271,7,2019-09-25,나무이야기,숲해설가 김광식(수필가),2019-09-25,
11936,271,8,2019-09-25,부산시민공원에서 BIFF 공식행사 영화감상,,2019-09-25,
11937,271,7,2019-09-25,행정광고-부산진구 청년 창업스쿨 안내,,2019-09-25,
11938,271,7,2019-09-25,행정광고-9월 환경개선부담금 납부 안내,,2019-09-25,
11951,272,2,2019-10-25,유익한 복지정보/재밌는 체험 한자리에,10월 26일 감고개공원에서 가야1/2동 징검다리 복지마을 박람회 개최,2019-10-25,
11952,272,2,2019-10-25,가야 감고개공원 공감토크 성황리에,공원 개소 기념 수정터널 인근 주민들과 구청장 대화,2019-10-25,
11953,272,2,2019-10-25,부산진구 안녕 캠페인 경진대회 대상,독거노인 안부 확인 우리家 있어요 전국 모범사례 인정,2019-10-25,
11949,272,1,2019-10-25,부산진구 청소년 인권그림 공모전,,2019-10-25,
11950,272,1,2019-10-25,부산진구장학회 특별장학생 선발 공고,,2019-10-25,
11954,272,2,2019-10-25,"부산진구, 정보통신 행안부장관상 수상",공공 와이파이 통한 명소안내 포털서비스 호평 받아,2019-10-25,
11955,272,2,2019-10-25,"개금2동주민센터, 개금2동새마을금고로 임시 이전",,2019-10-25,
11945,272,1,2019-10-25,생활SOC 공모에 부산진구 4개 사업 선정,,2019-10-25,
11946,272,1,2019-10-25,부산진구 1호 다함께돌봄센터 개소,,2019-10-25,
11947,272,1,2019-10-25,나를 변화시키는 마술가게 열린다,,2019-10-25,
11948,272,1,2019-10-25,청소년들이 직접 꾸미는 축제한마당,,2019-10-25,
11941,271,8,2019-09-25,동길산 시인이 쓰는 부산진이야기 57,얼굴 곱고 마음은 더 고운 부산 최고 미인,2019-09-25,
11942,271,8,2019-09-25,포토 에세이,대풍 예감,2019-09-25,
11943,271,8,2019-09-25,제과제빵 명장을 꿈꾸는 중학생들,카페디저트 동아리 안다미로 깜짝 실력 과시,2019-09-25,2019-09-25
11939,271,8,2019-09-25,부산진구어린이청소년도서관 이달의 추천도서(9월),,2019-09-25,
11940,271,8,2019-09-25,달빛 보며 숲길 걷고 … 별빛 보며 음악 듣기,10월 19일 백양산 달빛 걷기/산사음악회 개최 … 영화배우 겸 국악인 오정해 출연,2019-09-25,
4527,134,7,2008-04-25,처음 타본 지하철 ′신기해요′,결혼이주여성들 신나는 나들이,,
4371,136,2,2008-06-26,일파라치들의 봄날′은 가고 …,부산진구 1회용품 신고포상금제 폐지 추진,,
4526,134,7,2008-04-25,부전1동-전포지구대 합동 깨끗한 거리 환경 만들기,,,
11932,271,7,2019-09-25,물의 시인 오정환 선생을 기리며 ,독자칼럼,2019-09-25,2019-09-25
11933,271,7,2019-09-25,"전동휠, 쉽게 생각하다 큰코다쳐",도로교통법상 놀이기구 아닌 원동기 … 교통사고 급증 추세,2019-09-25,
11934,271,7,2019-09-25,유산균과 프로바이오틱스,독자칼럼,2019-09-25,
11916,271,4,2019-09-25,훈훈한 추석 이웃사랑 고맙습니다-3,,2019-09-25,2019-09-25
11930,271,6,2019-09-25,가야공원과 가야천,독자칼럼,2019-09-25,
11931,271,6,2019-09-25,BTS 멤버가 다녀간 곳 나도 갈래,부산시민공원/카페/연지동 곱창집에 팬들 북적,2019-09-25,
11929,271,6,2019-09-25,김다희 시인의 꽃보다 사람 64,소정이 닮기 프로젝트,2019-09-25,2019-09-25
11928,271,5,2019-09-25,불이 나면 어린이/노인은 무조건 먼저 대피,,2019-09-25,
11920,271,5,2019-09-25,법률상담,법률구조 어떻게 받을 수 있을까요?,2019-09-25,
11922,271,5,2019-09-25,BRT(간선급행버스체계) 공사로 중앙대로 일부 통제,양정교차로∼서면(광무교) 일정별 1∼3개 차로 통제,2019-09-25,
11923,271,5,2019-09-25,가야1동 429가구 대상 마을건강 조사,,2019-09-25,
11924,271,5,2019-09-25,"초연중학교 학생들, 어르신 말벗 봉사",,2019-09-25,
11925,271,5,2019-09-25,자동차정비조합 재능기부 명절 대비 차량 무상점검 ,,2019-09-25,
11926,271,5,2019-09-25,응급상황 발생 시 필수 가야1동 심폐소생술 교육,,2019-09-25,
11927,271,5,2019-09-25,백세! 젊음의 잔치 10월 3일 KBS부산홀에서 개최,,2019-09-25,
11917,271,5,2019-09-25,이것이 바로 아이들이 행복한 교육 ,부산진구 다행복교육지구 지역연계 배움터 운영,2019-09-25,
11918,271,5,2019-09-25,정부가 인정한 부산진구 청소행정,일회용품 회수체계 전국 영상회의에서 호평 받아,2019-09-25,
11919,271,5,2019-09-25,"부산진우체국, 임시청사 2곳으로 이전",,2019-09-25,
11895,271,2,2019-09-25,구인/구직 축제 한마당 펼친다,10월 4일 구청에서 일자리 플러스 페스티벌 개최,2019-09-25,
11896,271,2,2019-09-25,"아동수당, 만7세 미만까지 확대",9월부터 월 10만 원 지급,2019-09-25,
11897,271,2,2019-09-25,서면문화로 쿨링포그시스템 설치,영광도서 앞 … 무더위/미세먼지 차단 인공안개 분무,2019-09-25,
11898,271,2,2019-09-25,독감 예방접종 받으세요,9월 17일부터 가까운 위탁의료기관에서 접종,2019-09-25,
11899,271,2,2019-09-25,건설기계조종사 면허증 튼튼하게,"부산진구, 부산 최초 플라스틱 재질 면허증 발급",2019-09-25,
11900,271,2,2019-09-25,지방세 징수 실적평가 부산진구 우수,,2019-09-25,
11901,271,2,2019-09-25,소방통로 확보 합동훈련,구청/경찰서/소방서 참여,2019-09-25,
11902,271,2,2019-09-25,고객 만족도를 높여라,부산진구 직원 친절교육,2019-09-25,
11891,271,1,2019-09-25,혜민스님 초빙 마음치유 콘서트,10월 4일 오후 2시 구청 대강당 희망아카데미 개최,2019-09-25,2019-09-25
11892,271,1,2019-09-25,부산진구 새로운 놀이관광 와이파이 사진작가가 뜬다,,2019-09-25,
11893,271,1,2019-09-25,부산진구 어린이집 미세먼지 걱정 끝,전체 어린이집 163곳에 에어커튼/방진망 설치,2019-09-25,
11894,271,2,2019-09-25,건강한 노후/활기찬 100세 인생 기원,10월 1일∼11일까지 다채로운 노인주간행사 개최,2019-09-25,
11914,271,4,2019-09-25,훈훈한 추석 … 이웃사랑 고맙습니다-1,,2019-09-25,
11912,271,3,2019-09-25,제295회 임시회 5분 자유발언 주요 내용,,2019-09-25,
11904,271,2,2019-09-25,행정광고-부산진구 자원순환 나눔장터 개최 안내,,2019-09-25,
11905,271,2,2019-09-25,행정광고-9월 재산세 납부 안내,,2019-09-25,
11906,271,2,2019-09-25,행정광고-사망자 재산조회 시 셀프상속등기 안내,,2019-09-25,
11903,271,2,2019-09-25,행정광고-진드기매개 감염병 예방수칙,,2019-09-25,
11907,271,2,2019-09-25,행정광고-당감건강생활지원센터 프로그램 안내,,2019-09-25,
11915,271,4,2019-09-25,훈훈한 추석 이웃사랑 고맙습니다-2,,2019-09-25,
11873,270,7,2019-08-26,집 근처에서 어린이들 신나게 물놀이,부산시민공원/복지관/교회 등 도심 곳곳 물놀이장 운영,2019-08-26,2019-08-26
11874,270,7,2019-08-26,소문난 부산진구 노인장애인복지관,울산 울주군 관계자들 방문 … 우수사례 견학,2019-08-26,2019-08-26
11875,270,7,2019-08-26,어르신들 걱정마세요 우리家 있어요 ,부암1/가야1/2동에서 독거노인 돌보기 자원봉사 활발,2019-08-26,2019-08-26
11876,270,7,2019-08-26,백양산 등산로 정비 사업비,부산진구에 5000만 원 기탁,2019-08-26,2019-08-26
11877,270,7,2019-08-26,개금복지관 웰다잉 교육,상속 등 사후법률문제 안내,2019-08-26,2019-08-26
11878,270,7,2019-08-26, 중증장애인 주거환경 개선,반짝반짝 클린하우스 발대,2019-08-26,2019-08-26
11868,270,7,2019-08-26,최고의 일자리 GKL을 주목하라,그랜드코리아레저 부산 첫 산학실습생 교육 … 8개 대학 20명 참여,2019-08-26,2019-08-26
11869,270,7,2019-08-26,부산 10월 중 안전속도 5030 시행,주요도로는 시속 50㎞/이면도로는 30㎞로 속도 제한,2019-08-26,2019-08-26
11870,270,7,2019-08-26,개금2동주민센터 임시 이전합니다,10월 2일부터 백병원 위쪽 새마을금고 2/3층으로,2019-08-26,2019-08-26
11871,270,7,2019-08-26,협동조합형 민간임대주택 가입 신중하게,주택법상 납입금 환급제도 없어 사업지연/취소 시 피해 우려,2019-08-26,2019-08-26
11872,270,7,2019-08-26,차량털이 CCTV에 딱 걸렸어,"통합관제센터 요원 실시간 관제하다 절도범 발견, 신고",2019-08-26,2019-08-26
11866,270,6,2019-08-26,김다희 시인의 꽃보다 사람 63,4대가 봉사하는 가족,2019-08-26,2019-08-26
11867,270,6,2019-08-26,장애 얻은 후 17년 만에 여행했어요,중증장애인들 롯데면세점 기증 차량 이용해 대거 나들이 ,2019-08-26,2019-08-26
11889,271,1,2019-09-25,10월의 서면 즐거운 축제가 기다린다,,2019-09-25,
11890,271,1,2019-09-25,수정터널 상부공간 공원화 완료 …감고개공원 탄생,,2019-09-25,
11887,270,3,2019-08-26,연지할머니경로당 개소식 참석,,2019-08-26,
11888,270,3,2019-08-26,"삼계탕 6,000그릇 나눔 행사 참여",,2019-08-26,
11883,270,8,2019-08-26,동길산 시인이 쓰는 부산진이야기 56,재래시장6 서면시장,2019-08-26,2019-08-26
11884,270,8,2019-08-26,부산진구어린이청소년도서관 이달의 추천도서(8월),남과 잘 소통하며 말하는 법 내 말 사용 설명서,2019-08-26,2019-08-26
11885,270,3,2019-08-26,일자리창출 교육지원센터 관계자 격려,,2019-08-26,
11886,270,3,2019-08-26,노인복지관 신암분관 개관 축하,,2019-08-26,
11881,270,8,2019-08-26,이육사 조지훈 시인 문학관 탐방,"청소년 문학아카데미, 안동서 문학체험 캠프",2019-08-26,2019-08-26
11882,270,8,2019-08-26,인권에 관심을…어린이 인권도서 전시,어린이청소년도서관에서 9월 1일∼25일까지,2019-08-26,2019-08-26
11908,271,3,2019-09-25,"부산진구의회, 세수 10억 증대",개별공시지가 문제 제기로 세수 증대 끌어내,2019-09-25,
11909,271,3,2019-09-25,9명의 의원이 10건의 조례안 발의,제295회 부산진구의회 임시회,2019-09-25,
11879,270,7,2019-08-26,청년 대상 자립소양교육,부산진구 일자리센터 ,2019-08-26,2019-08-26
11880,270,8,2019-08-26,포토 에세이,여름 잊게 해주는 이끼계곡,2019-08-26,2019-08-26
11858,270,5,2019-08-26,테이크아웃컵 전용 휴지통 서면에 설치,전포카페거리 일원에 … 음료/컵 분리배출 가능,2019-08-26,2019-08-26
11859,270,5,2019-08-26,전통놀이 가족운동회 참가하세요,9월 28일 토요일 개금초등학교 운동장에서 개최,2019-08-26,2019-08-26
11860,270,5,2019-08-26, 감기/비염 등 미리 대비,동병하치 프로그램 운영,2019-08-26,2019-08-26
11861,270,5,2019-08-26,규제혁신 소식,,2019-08-26,2019-08-26
11862,270,5,2019-08-26,법률상담,"언론보도 피해, 소송 않고 구제받는 방법은?",2019-08-26,2019-08-26
11847,270,3,2019-08-26,일본정부 경제침략 행위 규탄 및 철회촉구 결의안(전문),,2019-08-26,2019-08-26
11848,270,3,2019-08-26,"의원들, 서면시장 청년몰 온나 방문",상인들 애로사항 청취 … 민원해결 방안 마련키로,2019-08-26,2019-08-26
11849,270,3,2019-08-26, 부산진구의회 유튜브채널 개설,부산진구의회 소식 이제 유튜브에서도 보자,2019-08-26,2019-08-26
11840,270,2,2019-08-26,주민이 예산편성에 참여,주민참여 예산학교 개최,2019-08-26,2019-08-26
11841,270,2,2019-08-26,구청 앞 광장 쉼터 조성,,2019-08-26,2019-08-26
11842,270,2,2019-08-26,공동주택 관리 앱 아파트너 구축 추진,"부산진구, 부산서 최초로",2019-08-26,2019-08-26
11843,270,2,2019-08-26,공동주택 특별감사 사례집 제작 배부,,2019-08-26,2019-08-26
11844,270,2,2019-08-26,전동휠체어/전동스쿠터 충전하세요,구청/복지관 등 주요 시설에 급속충전기 설치,2019-08-26,2019-08-26
11845,270,3,2019-08-26,부산시민공원 물놀이장 개장식 참석,,2019-08-26,2019-08-26
11846,270,3,2019-08-26,일본 경제보복 규탄 부산진구의회 결의문 채택,제294회 부산진구의회 임시회,2019-08-26,2019-08-26
11856,270,4,2019-08-26,마을 소식,,2019-08-26,2019-08-26
11857,270,4,2019-08-26,시각장애인 민원 안내 점자책 발간,구청 민원실/동주민센터/보건소 등에 비치,2019-08-26,2019-08-26
11850,270,3,2019-08-26,"의회/지역소식, 펼치면 보입니다",2/4분기 부산진구의회 소식지 및 의회지 발행,2019-08-26,2019-08-26
11851,270,3,2019-08-26,안내,,2019-08-26,2019-08-26
11852,270,4,2019-08-26,"(사)부산사랑나눔회 성금 1,800만 원 기탁",,2019-08-26,2019-08-26
11853,270,4,2019-08-26,㈜두원이엔씨 선풍기 100대 전달,,2019-08-26,2019-08-26
11854,270,4,2019-08-26,(주)영신금속 라면 200박스 기탁,,2019-08-26,2019-08-26
11855,270,4,2019-08-26,범천2동 행복 더하기 4대 프로그램 운영,,2019-08-26,2019-08-26
11910,271,3,2019-09-25,"민원이 있는 곳, 부산진구의회가 간다","의원들, 부산진구 민원현장 곳곳 왕성한 현장방문",2019-09-25,
11911,271,3,2019-09-25,추석 명절 복지시설 방문,,2019-09-25,
11863,270,5,2019-08-26,남녀불문 폭염기간 양산 쓰세요,"양산 1,000개 배부 … 남성 어르신 양산쓰기 권장",2019-08-26,2019-08-26
11864,270,5,2019-08-26,자전거 수리사업 잘 나갑니다,자원 재활용/일자리 창출/나눔 실천 등 1석3조,2019-08-26,2019-08-26
11865,270,6,2019-08-26,나무이야기,숲해설가 김광식(수필가),2019-08-26,2019-08-26
11829,269,8,2019-07-25,동길산 시인이 쓰는 부산진이야기 55,부산 1세대 작가 서양화 한곳에,2019-07-25,
11830,269,8,2019-07-25,김종식미술관 제2관 연지동에 개관,한국 근대미술 선구자 … 유작 20점 특별전시,2019-07-25,
11831,269,8,2019-07-25,부산진문화재단 설립 타당성 확인,연구용역 최종보고회 개최,2019-07-25,
11835,270,1,2019-08-26,네 꿈을 펼쳐봐! 우리가 도와줄게,부산진구 진로교육지원센터 꿈다락 전포동에 개소,2019-08-26,2019-08-26
11836,270,1,2019-08-26,동천로 대중교통전용지구 일시 해제,,2019-08-26,2019-08-26
11837,270,2,2019-08-26,"청년창업가, 위워크에서 꿈을 펼쳐라",,2019-08-26,2019-08-26
11838,270,2,2019-08-26,부산진구 간부 공무원 갑질금지 서약,,2019-08-26,2019-08-26
11839,270,2,2019-08-26,부산진구민 건강수준 파악,10월까지 지역사회 건강조사,2019-08-26,2019-08-26
11832,269,8,2019-07-25,포토 에세이,파랑새는 있다,2019-07-25,
11833,269,8,2019-07-25,"백민정, 뉴욕 카네기홀에서 공연",전포동 출신 피아니스트 세계적 연주자 인정받아,2019-07-25,
11834,270,1,2019-08-26,즐겁고 신나는 북새통 축제에 초대,2019 부산진구 북새통 페스티벌 ,2019-08-26,2019-08-26
11817,269,6,2019-07-25,나무이야기,숲해설가 김광식(수필가),2019-07-25,
11818,269,7,2019-07-25,숙녀미용실 정정아 원장,국제미용페스티벌 금상,2019-07-25,
11819,269,7,2019-07-25,냉방온도 26도 … 전기플러그는 빼놓기,저탄소 휴가 캠페인 전개,2019-07-25,
11820,269,7,2019-07-25,탄소포인트제 가입하세요,전기/가스 등 절약하면 최대 7만 원 인센티브,2019-07-25,
11821,269,7,2019-07-25,자랑스러운 부산진구 청소년대상 수여,이아영(봉사)/곽한호(기능)/신제원(예술)/이욱열(체육),2019-07-25,
11807,269,5,2019-07-25,부산진구 치매안심센터 소식,,2019-07-25,
11808,269,5,2019-07-25,승강기 사고배상책임보험 9월 27일까지 가입,,2019-07-25,
11809,269,5,2019-07-25,차도는 위험 … 인도로 운행,전동보장구 안전운행 교육,2019-07-25,
11810,269,5,2019-07-25,제로페이 쓰면 사용금액의 7% 환급,네이버페이/부산 썸뱅크/농협/수협 등 9개 앱 참여,2019-07-25,
11811,269,5,2019-07-25,전리단길 공방거리 부산 명소 도전장 ,,2019-07-25,
11801,269,4,2019-07-25,안심해라 마! 단디 지켜줄게!,전포1동 안심마을 만들기,2019-07-25,
11802,269,4,2019-07-25,뉴드림코리아(주) 라면 200박스 기탁,,2019-07-25,
11803,269,5,2019-07-25,규제혁신 소식,선량한 영업주 보호를 위한 규제 완화,2019-07-25,
11804,269,5,2019-07-25,가까운 동네서점에서 책 빌려본다,지역서점 5곳 희망도서 바로대출 서비스 시행,2019-07-25,
11805,269,5,2019-07-25,법률상담,"범죄피해보상, 국가로부터 받을 수 있을까",2019-07-25,
11806,269,5,2019-07-25,청소년 자원봉사학교 운영,3대 테마 프로그램 진행,2019-07-25,
11815,269,6,2019-07-25,김다희 시인의 꽃보다 사람 62,꺼지지 않는 등불,2019-07-25,
11816,269,6,2019-07-25,물놀이! 멀리 갈 필요 없어요,부산시민공원/육아종합지원센터 물놀이장 개장,2019-07-25,
11812,269,5,2019-07-25,서면 만취길에서 분위기를 즐겨보자,,2019-07-25,2019-07-25
11813,269,6,2019-07-25,부산진구 SNS 꿀잼/꿀팁 가득,,2019-07-25,
11814,269,6,2019-07-25,인생의 황혼기를 빛내준 평생교육,독자원고,2019-07-25,
11828,269,8,2019-07-25,부산진구 어린이청소년도서관 이달의 추천도서(7월),,2019-07-25,
11824,269,7,2019-07-25,부마민주항쟁 40주년 기념 작품 전시,7월 26일∼8월 23일 구청에서 민중미술 작품 32점 전시,2019-07-25,
11825,269,7,2019-07-25,휴가 대비 자동차 무상점검/정비,자동차전문정비사업조합,2019-07-25,
11826,269,7,2019-07-25,노인복지관 신암분관 이전했어요,,2019-07-25,
11822,269,7,2019-07-25,자투리땅 나무심기 추진,나무 주인 되실 분 모집,2019-07-25,
11823,269,7,2019-07-25,자원봉사 활력충전 페스티벌 개최,7월 27일 토요일 구청 대강당 … 공연/체험부스 운영,2019-07-25,
11827,269,8,2019-07-25,작은 도서관 속 큰 세상 보여줄게,다행복교육지원센터,2019-07-25,
11792,269,2,2019-07-25,광복절 기념 인문학 콘서트 ,공연 감동 ＋ 역사 공부,2019-07-25,
11793,269,3,2019-07-25,의정포토뉴스,,2019-07-25,
11794,269,3,2019-07-25,혁신/소통/구민행복 위한 의정활동 다짐,제8대 부산진구의회 개원 1주년 기념식 거행,2019-07-25,
11795,269,3,2019-07-25,예산결산특별위원회 구성,,2019-07-25,
11796,269,3,2019-07-25,제293회 임시회 5분 자유발언 주요 내용,,2019-07-25,
11787,269,2,2019-07-25,시민공원에 스마트 분리배출함 설치,캔/페트병 등 분리배출 시 스마트폰 앱에 포인트 적립,2019-07-25,
11788,269,2,2019-07-25,부산진구 쓰레기봉투 가격 인하,7월 1일부터 10리터 용량 430원에서 300원으로,2019-07-25,
11789,269,2,2019-07-25,장애등급제 7월 1일부터 단계적 폐지,6단계 등급을 장애 정도에 따라 2단계로 단순하게 분류,2019-07-25,
11790,269,2,2019-07-25,2019년 OK 일자리 지원사업 선정,소상공인/여성 등 60여 명에게 일자리 지원,2019-07-25,
11786,269,2,2019-07-25,동천로에 Iot 스마트 라운지 설치,미세먼지 안내/휴대폰 충전 가능 신개념 벤치,2019-07-25,
11791,269,2,2019-07-25,희망복지 플러스센터 개소,구청/주민센터/복지관 협력 복지사각지대 해소,2019-07-25,2019-07-25
11799,269,4,2019-07-25,마을 소식,,2019-07-25,
11800,269,4,2019-07-25,어린이 등굣길 안전 우리가 지켜요,부암1동 유관단체장 2명 매일 아침 교통 봉사활동,2019-07-25,
11797,269,3,2019-07-25,2019년도 제2회 추가경정예산안 등 심사,제293회 부산진구의회 임시회,2019-07-25,
11798,269,4,2019-07-25,새마을문고 추영애 신임회장 취임,,2019-07-25,
11780,268,8,2019-06-25,예술인들의 작품 예술이네요,제28회 부산진구 문화예술인전 성황리 개최,2019-06-25,
11781,268,8,2019-06-25,6월의 뜨거운 함성 기억 나십니까?,6월 항쟁 32주년 기념 부산진구에서 사진전시회,2019-06-25,2019-06-25
11782,268,8,2019-06-25,김다희 시인의 꽃보다 사람 61,세상 어떤 말로도 표현할 수 없는,2019-06-25,2019-06-25
11783,268,5,2019-06-25,쓰레기봉투 가격 인하,7월 1일부터 10리터짜리 430원에서 300원으로 ,2019-06-25,
11777,268,8,2019-06-25,동길산 시인이 쓰는 부산진이야기 54,"부산 최초는 둘, 방문한 대통령은 넷 ",2019-06-25,2019-06-25
11778,268,8,2019-06-25,포토 에세이,개똥벌레의 추억,2019-06-25,2019-06-25
11779,268,8,2019-06-25,부산진문화재단 설립 필요하다,주민설명회 개최 … 설문조사 결과 641% 찬성,2019-06-25,
11775,268,7,2019-06-25,부산진구 7개 기관 참여 복지관 네트워크 발족,,2019-06-25,
11776,268,7,2019-06-25,전문경비원 양성교육 수료식 개최,,2019-06-25,
11761,268,5,2019-06-25,KTX매거진 7월호에 부산진구 특집 편성,,2019-06-25,
11762,268,5,2019-06-25,6/9/12월엔 칫솔 바꾸세요,65세 이상 대상 칫솔 교체,2019-06-25,
11763,268,5,2019-06-25,‘전포카페거리 따라잡기’ 참가하세요,카페에서 커피ㆍ디저트ㆍ요리ㆍ공예 등 배우기 ,2019-06-25,2019-06-25
11764,268,6,2019-06-25,"배우 정준호, 부산진구 홍보대사 위촉",,2019-06-25,2019-06-25
11765,268,6,2019-06-25,나무이야기,,2019-06-25,2019-06-25
11769,268,7,2019-06-25,나에게 힘이 되는 복지서비스 여기에,힘겨울 땐 129 전화/일자리는 취업포털 접속하세요,2019-06-25,2019-06-25
11770,268,7,2019-06-25,"부산진구 쪽방상담소, 숙박업주 등과 간담회",,2019-06-25,
11771,268,7,2019-06-25,"호천마을, 부산녹색환경 대상 수상",,2019-06-25,
11772,268,7,2019-06-25,한반도 평화시대 통일을 생각하다,평화공감 토크콘서트 6월 26일 구청 대강당,2019-06-25,
11773,268,7,2019-06-25,이륜차 무등록/안전모 미착용 단속,,2019-06-25,
11774,268,7,2019-06-25,학교밖청소년지원센터 꿈드림 29명 전원 검정고시 합격,,2019-06-25,
11766,268,6,2019-06-25,독자칼럼,타인 건강보험증 부정 사용은 범죄행위 ,2019-06-25,2019-06-25
11767,268,6,2019-06-25,부산진구 어린이청소년도서관 이달의 추천도서(6월),,2019-06-25,
11768,268,7,2019-06-25,서전병원의 고마움을 기리며,"부산진구, 롯데백화점 옆 스웨덴 참전비 헌화",2019-06-25,2019-06-25
